Item Name,SKU,Categories,Permalink,Option Value 1,Description,Option Value 2,Option Value 3,Option Value 4,Reporting Category,Variation Name,Option Value 5,Option Value 6,Price
AI Summarize,ai.summarize.standard,Magnexis APIHub > Ai,api-ai-summarize,ai,"Condense long text into a concise, structured summary.",medium,none,free,Text Transform,standard,ai|standard,60,1.57
Item Generator Adaptive,game.item-generator.adaptive,Magnexis APIHub > Game,api-game-item-generator-adaptive,game,Invent game items with stats and rarity. Optimized for adaptive mode.,medium,none,pro,Generation,adaptive,adaptive|game,60,7.10
Item Generator Batch,game.item-generator.batch,Magnexis APIHub > Game,api-game-item-generator-batch,game,Invent game items with stats and rarity. Optimized for batch mode.,medium,none,pro,Generation,batch,batch|game,60,7.61
Loot Table,game.loot-table.standard,Magnexis APIHub > Game,api-game-loot-table,game,Produce weighted loot table results.,medium,none,free,Generation,standard,game|generation,60,7.47
Loot Table Fast,game.loot-table.fast,Magnexis APIHub > Game,api-game-loot-table-fast,game,Produce weighted loot table results. Optimized for fast mode.,medium,none,pro,Generation,fast,fast|game,60,6.77
Loot Table Deep,game.loot-table.deep,Magnexis APIHub > Game,api-game-loot-table-deep,game,Produce weighted loot table results. Optimized for deep mode.,medium,none,pro,Generation,deep,deep|game,60,6.79
Loot Table Strict,game.loot-table.strict,Magnexis APIHub > Game,api-game-loot-table-strict,game,Produce weighted loot table results. Optimized for strict mode.,medium,none,pro,Generation,strict,game|generation,60,7.09
Loot Table Creative,game.loot-table.creative,Magnexis APIHub > Game,api-game-loot-table-creative,game,Produce weighted loot table results. Optimized for creative mode.,medium,none,pro,Generation,creative,creative|game,60,7.55
Loot Table Compact,game.loot-table.compact,Magnexis APIHub > Game,api-game-loot-table-compact,game,Produce weighted loot table results. Optimized for compact mode.,medium,none,pro,Generation,compact,compact|game,60,7.11
Loot Table Verbose,game.loot-table.verbose,Magnexis APIHub > Game,api-game-loot-table-verbose,game,Produce weighted loot table results. Optimized for verbose mode.,medium,none,pro,Generation,verbose,game|generation,60,7.57
Loot Table Safe,game.loot-table.safe,Magnexis APIHub > Game,api-game-loot-table-safe,game,Produce weighted loot table results. Optimized for safe mode.,medium,none,pro,Generation,safe,game|generation,60,7.03
Loot Table Adaptive,game.loot-table.adaptive,Magnexis APIHub > Game,api-game-loot-table-adaptive,game,Produce weighted loot table results. Optimized for adaptive mode.,medium,none,pro,Generation,adaptive,adaptive|game,60,7.50
Loot Table Batch,game.loot-table.batch,Magnexis APIHub > Game,api-game-loot-table-batch,game,Produce weighted loot table results. Optimized for batch mode.,medium,none,pro,Generation,batch,batch|game,60,7.72
Dialogue Tree,game.dialogue-tree.standard,Magnexis APIHub > Game,api-game-dialogue-tree,game,Generate branching conversation options.,high,none,pro,Generation,standard,dialogue|game,30,7.65
Dialogue Tree Fast,game.dialogue-tree.fast,Magnexis APIHub > Game,api-game-dialogue-tree-fast,game,Generate branching conversation options. Optimized for fast mode.,high,none,pro,Generation,fast,dialogue|fast,30,7.44
Dialogue Tree Deep,game.dialogue-tree.deep,Magnexis APIHub > Game,api-game-dialogue-tree-deep,game,Generate branching conversation options. Optimized for deep mode.,high,none,pro,Generation,deep,deep|dialogue,30,7.03
Dialogue Tree Strict,game.dialogue-tree.strict,Magnexis APIHub > Game,api-game-dialogue-tree-strict,game,Generate branching conversation options. Optimized for strict mode.,high,none,pro,Generation,strict,dialogue|game,30,7.74
Dialogue Tree Creative,game.dialogue-tree.creative,Magnexis APIHub > Game,api-game-dialogue-tree-creative,game,Generate branching conversation options. Optimized for creative mode.,high,none,pro,Generation,creative,creative|dialogue,30,7.65
Dialogue Tree Compact,game.dialogue-tree.compact,Magnexis APIHub > Game,api-game-dialogue-tree-compact,game,Generate branching conversation options. Optimized for compact mode.,high,none,pro,Generation,compact,compact|dialogue,30,7.70
Dialogue Tree Verbose,game.dialogue-tree.verbose,Magnexis APIHub > Game,api-game-dialogue-tree-verbose,game,Generate branching conversation options. Optimized for verbose mode.,high,none,pro,Generation,verbose,dialogue|game,30,7.61
Dialogue Tree Safe,game.dialogue-tree.safe,Magnexis APIHub > Game,api-game-dialogue-tree-safe,game,Generate branching conversation options. Optimized for safe mode.,high,none,pro,Generation,safe,dialogue|game,30,7.76
Dialogue Tree Adaptive,game.dialogue-tree.adaptive,Magnexis APIHub > Game,api-game-dialogue-tree-adaptive,game,Generate branching conversation options. Optimized for adaptive mode.,high,none,pro,Generation,adaptive,adaptive|dialogue,30,7.61
Dialogue Tree Batch,game.dialogue-tree.batch,Magnexis APIHub > Game,api-game-dialogue-tree-batch,game,Generate branching conversation options. Optimized for batch mode.,high,none,pro,Generation,batch,batch|dialogue,30,7.80
World Event Generator,game.world-event-generator.standard,Magnexis APIHub > Game,api-game-world-event-generator,game,Invent world-state events and consequences.,high,none,pro,Simulation,standard,events|game,30,6.92
World Event Generator Fast,game.world-event-generator.fast,Magnexis APIHub > Game,api-game-world-event-generator-fast,game,Invent world-state events and consequences. Optimized for fast mode.,high,none,pro,Simulation,fast,events|fast,30,7.53
World Event Generator Deep,game.world-event-generator.deep,Magnexis APIHub > Game,api-game-world-event-generator-deep,game,Invent world-state events and consequences. Optimized for deep mode.,high,none,pro,Simulation,deep,deep|events,30,7.44
World Event Generator Strict,game.world-event-generator.strict,Magnexis APIHub > Game,api-game-world-event-generator-strict,game,Invent world-state events and consequences. Optimized for strict mode.,high,none,pro,Simulation,strict,events|game,30,7.19
World Event Generator Creative,game.world-event-generator.creative,Magnexis APIHub > Game,api-game-world-event-generator-creative,game,Invent world-state events and consequences. Optimized for creative mode.,high,none,pro,Simulation,creative,creative|events,30,7.74
World Event Generator Compact,game.world-event-generator.compact,Magnexis APIHub > Game,api-game-world-event-generator-compact,game,Invent world-state events and consequences. Optimized for compact mode.,high,none,pro,Simulation,compact,compact|events,30,7.27
World Event Generator Verbose,game.world-event-generator.verbose,Magnexis APIHub > Game,api-game-world-event-generator-verbose,game,Invent world-state events and consequences. Optimized for verbose mode.,high,none,pro,Simulation,verbose,events|game,30,7.33
World Event Generator Safe,game.world-event-generator.safe,Magnexis APIHub > Game,api-game-world-event-generator-safe,game,Invent world-state events and consequences. Optimized for safe mode.,high,none,pro,Simulation,safe,events|game,30,7.56
World Event Generator Adaptive,game.world-event-generator.adaptive,Magnexis APIHub > Game,api-game-world-event-generator-adaptive,game,Invent world-state events and consequences. Optimized for adaptive mode.,high,none,pro,Simulation,adaptive,adaptive|events,30,7.71
World Event Generator Batch,game.world-event-generator.batch,Magnexis APIHub > Game,api-game-world-event-generator-batch,game,Invent world-state events and consequences. Optimized for batch mode.,high,none,pro,Simulation,batch,batch|events,30,7.27
Traffic Simulator,sim.traffic.standard,Magnexis APIHub > Sim,api-sim-traffic,sim,Simulate traffic density and delay patterns.,high,none,pro,Simulation,standard,sim|simulation,30,7.81
Traffic Simulator Fast,sim.traffic.fast,Magnexis APIHub > Sim,api-sim-traffic-fast,sim,Simulate traffic density and delay patterns. Optimized for fast mode.,high,none,pro,Simulation,fast,fast|sim,30,7.88
Traffic Simulator Deep,sim.traffic.deep,Magnexis APIHub > Sim,api-sim-traffic-deep,sim,Simulate traffic density and delay patterns. Optimized for deep mode.,high,none,pro,Simulation,deep,deep|sim,30,7.13
Traffic Simulator Strict,sim.traffic.strict,Magnexis APIHub > Sim,api-sim-traffic-strict,sim,Simulate traffic density and delay patterns. Optimized for strict mode.,high,none,pro,Simulation,strict,sim|simulation,30,7.51
Traffic Simulator Creative,sim.traffic.creative,Magnexis APIHub > Sim,api-sim-traffic-creative,sim,Simulate traffic density and delay patterns. Optimized for creative mode.,high,none,pro,Simulation,creative,creative|sim,30,7.85
Traffic Simulator Compact,sim.traffic.compact,Magnexis APIHub > Sim,api-sim-traffic-compact,sim,Simulate traffic density and delay patterns. Optimized for compact mode.,high,none,pro,Simulation,compact,compact|sim,30,7.64
Traffic Simulator Verbose,sim.traffic.verbose,Magnexis APIHub > Sim,api-sim-traffic-verbose,sim,Simulate traffic density and delay patterns. Optimized for verbose mode.,high,none,pro,Simulation,verbose,sim|simulation,30,7.26
Traffic Simulator Safe,sim.traffic.safe,Magnexis APIHub > Sim,api-sim-traffic-safe,sim,Simulate traffic density and delay patterns. Optimized for safe mode.,high,none,pro,Simulation,safe,safe|sim,30,7.49
Traffic Simulator Adaptive,sim.traffic.adaptive,Magnexis APIHub > Sim,api-sim-traffic-adaptive,sim,Simulate traffic density and delay patterns. Optimized for adaptive mode.,high,none,pro,Simulation,adaptive,adaptive|sim,30,7.53
Traffic Simulator Batch,sim.traffic.batch,Magnexis APIHub > Sim,api-sim-traffic-batch,sim,Simulate traffic density and delay patterns. Optimized for batch mode.,high,none,pro,Simulation,batch,batch|sim,30,7.57
Weather Pattern,sim.weather-pattern.standard,Magnexis APIHub > Sim,api-sim-weather-pattern,sim,Simulate temperature and precipitation shifts.,high,none,pro,Simulation,standard,sim|simulation,30,7.74
Weather Pattern Fast,sim.weather-pattern.fast,Magnexis APIHub > Sim,api-sim-weather-pattern-fast,sim,Simulate temperature and precipitation shifts. Optimized for fast mode.,high,none,pro,Simulation,fast,fast|sim,30,7.42
Weather Pattern Deep,sim.weather-pattern.deep,Magnexis APIHub > Sim,api-sim-weather-pattern-deep,sim,Simulate temperature and precipitation shifts. Optimized for deep mode.,high,none,pro,Simulation,deep,deep|sim,30,7.91
Weather Pattern Strict,sim.weather-pattern.strict,Magnexis APIHub > Sim,api-sim-weather-pattern-strict,sim,Simulate temperature and precipitation shifts. Optimized for strict mode.,high,none,pro,Simulation,strict,sim|simulation,30,7.85
Weather Pattern Creative,sim.weather-pattern.creative,Magnexis APIHub > Sim,api-sim-weather-pattern-creative,sim,Simulate temperature and precipitation shifts. Optimized for creative mode.,high,none,pro,Simulation,creative,creative|sim,30,7.50
Weather Pattern Compact,sim.weather-pattern.compact,Magnexis APIHub > Sim,api-sim-weather-pattern-compact,sim,Simulate temperature and precipitation shifts. Optimized for compact mode.,high,none,pro,Simulation,compact,compact|sim,30,7.95
Weather Pattern Verbose,sim.weather-pattern.verbose,Magnexis APIHub > Sim,api-sim-weather-pattern-verbose,sim,Simulate temperature and precipitation shifts. Optimized for verbose mode.,high,none,pro,Simulation,verbose,sim|simulation,30,7.19
Weather Pattern Safe,sim.weather-pattern.safe,Magnexis APIHub > Sim,api-sim-weather-pattern-safe,sim,Simulate temperature and precipitation shifts. Optimized for safe mode.,high,none,pro,Simulation,safe,safe|sim,30,7.77
Weather Pattern Adaptive,sim.weather-pattern.adaptive,Magnexis APIHub > Sim,api-sim-weather-pattern-adaptive,sim,Simulate temperature and precipitation shifts. Optimized for adaptive mode.,high,none,pro,Simulation,adaptive,adaptive|sim,30,7.32
Weather Pattern Batch,sim.weather-pattern.batch,Magnexis APIHub > Sim,api-sim-weather-pattern-batch,sim,Simulate temperature and precipitation shifts. Optimized for batch mode.,high,none,pro,Simulation,batch,batch|sim,30,7.49
Customer Flow,sim.customer-flow.standard,Magnexis APIHub > Sim,api-sim-customer-flow,sim,Model foot traffic through a location.,medium,none,free,Simulation,standard,retail|sim,60,8.03
Customer Flow Fast,sim.customer-flow.fast,Magnexis APIHub > Sim,api-sim-customer-flow-fast,sim,Model foot traffic through a location. Optimized for fast mode.,medium,none,pro,Simulation,fast,fast|retail,60,7.43
Customer Flow Deep,sim.customer-flow.deep,Magnexis APIHub > Sim,api-sim-customer-flow-deep,sim,Model foot traffic through a location. Optimized for deep mode.,medium,none,pro,Simulation,deep,deep|retail,60,7.64
Customer Flow Strict,sim.customer-flow.strict,Magnexis APIHub > Sim,api-sim-customer-flow-strict,sim,Model foot traffic through a location. Optimized for strict mode.,medium,none,pro,Simulation,strict,retail|sim,60,7.99
Customer Flow Creative,sim.customer-flow.creative,Magnexis APIHub > Sim,api-sim-customer-flow-creative,sim,Model foot traffic through a location. Optimized for creative mode.,medium,none,pro,Simulation,creative,creative|retail,60,8.00
Customer Flow Compact,sim.customer-flow.compact,Magnexis APIHub > Sim,api-sim-customer-flow-compact,sim,Model foot traffic through a location. Optimized for compact mode.,medium,none,pro,Simulation,compact,compact|retail,60,7.40
Customer Flow Verbose,sim.customer-flow.verbose,Magnexis APIHub > Sim,api-sim-customer-flow-verbose,sim,Model foot traffic through a location. Optimized for verbose mode.,medium,none,pro,Simulation,verbose,retail|sim,60,7.84
Customer Flow Safe,sim.customer-flow.safe,Magnexis APIHub > Sim,api-sim-customer-flow-safe,sim,Model foot traffic through a location. Optimized for safe mode.,medium,none,pro,Simulation,safe,retail|safe,60,7.74
Customer Flow Adaptive,sim.customer-flow.adaptive,Magnexis APIHub > Sim,api-sim-customer-flow-adaptive,sim,Model foot traffic through a location. Optimized for adaptive mode.,medium,none,pro,Simulation,adaptive,adaptive|retail,60,7.93
Customer Flow Batch,sim.customer-flow.batch,Magnexis APIHub > Sim,api-sim-customer-flow-batch,sim,Model foot traffic through a location. Optimized for batch mode.,medium,none,pro,Simulation,batch,batch|retail,60,7.41
Delivery Network,sim.delivery-network.standard,Magnexis APIHub > Sim,api-sim-delivery-network,sim,Simulate routing and fulfillment performance.,high,none,pro,Simulation,standard,delivery|sim,30,7.47
Delivery Network Fast,sim.delivery-network.fast,Magnexis APIHub > Sim,api-sim-delivery-network-fast,sim,Simulate routing and fulfillment performance. Optimized for fast mode.,high,none,pro,Simulation,fast,delivery|fast,30,7.89
Delivery Network Deep,sim.delivery-network.deep,Magnexis APIHub > Sim,api-sim-delivery-network-deep,sim,Simulate routing and fulfillment performance. Optimized for deep mode.,high,none,pro,Simulation,deep,deep|delivery,30,7.97
Delivery Network Strict,sim.delivery-network.strict,Magnexis APIHub > Sim,api-sim-delivery-network-strict,sim,Simulate routing and fulfillment performance. Optimized for strict mode.,high,none,pro,Simulation,strict,delivery|sim,30,8.20
Delivery Network Creative,sim.delivery-network.creative,Magnexis APIHub > Sim,api-sim-delivery-network-creative,sim,Simulate routing and fulfillment performance. Optimized for creative mode.,high,none,pro,Simulation,creative,creative|delivery,30,7.77
Delivery Network Compact,sim.delivery-network.compact,Magnexis APIHub > Sim,api-sim-delivery-network-compact,sim,Simulate routing and fulfillment performance. Optimized for compact mode.,high,none,pro,Simulation,compact,compact|delivery,30,7.71
Delivery Network Verbose,sim.delivery-network.verbose,Magnexis APIHub > Sim,api-sim-delivery-network-verbose,sim,Simulate routing and fulfillment performance. Optimized for verbose mode.,high,none,pro,Simulation,verbose,delivery|sim,30,7.96
Delivery Network Safe,sim.delivery-network.safe,Magnexis APIHub > Sim,api-sim-delivery-network-safe,sim,Simulate routing and fulfillment performance. Optimized for safe mode.,high,none,pro,Simulation,safe,delivery|safe,30,7.92
Delivery Network Adaptive,sim.delivery-network.adaptive,Magnexis APIHub > Sim,api-sim-delivery-network-adaptive,sim,Simulate routing and fulfillment performance. Optimized for adaptive mode.,high,none,pro,Simulation,adaptive,adaptive|delivery,30,7.88
Delivery Network Batch,sim.delivery-network.batch,Magnexis APIHub > Sim,api-sim-delivery-network-batch,sim,Simulate routing and fulfillment performance. Optimized for batch mode.,high,none,pro,Simulation,batch,batch|delivery,30,8.24
Store Inventory,sim.store-inventory.standard,Magnexis APIHub > Sim,api-sim-store-inventory,sim,Simulate stock levels and reorder pressure.,medium,none,free,Simulation,standard,inventory|sim,60,8.22
Store Inventory Fast,sim.store-inventory.fast,Magnexis APIHub > Sim,api-sim-store-inventory-fast,sim,Simulate stock levels and reorder pressure. Optimized for fast mode.,medium,none,pro,Simulation,fast,fast|inventory,60,8.33
Store Inventory Deep,sim.store-inventory.deep,Magnexis APIHub > Sim,api-sim-store-inventory-deep,sim,Simulate stock levels and reorder pressure. Optimized for deep mode.,medium,none,pro,Simulation,deep,deep|inventory,60,8.33
Store Inventory Strict,sim.store-inventory.strict,Magnexis APIHub > Sim,api-sim-store-inventory-strict,sim,Simulate stock levels and reorder pressure. Optimized for strict mode.,medium,none,pro,Simulation,strict,inventory|sim,60,7.96
Store Inventory Creative,sim.store-inventory.creative,Magnexis APIHub > Sim,api-sim-store-inventory-creative,sim,Simulate stock levels and reorder pressure. Optimized for creative mode.,medium,none,pro,Simulation,creative,creative|inventory,60,8.16
Store Inventory Compact,sim.store-inventory.compact,Magnexis APIHub > Sim,api-sim-store-inventory-compact,sim,Simulate stock levels and reorder pressure. Optimized for compact mode.,medium,none,pro,Simulation,compact,compact|inventory,60,8.39
Store Inventory Verbose,sim.store-inventory.verbose,Magnexis APIHub > Sim,api-sim-store-inventory-verbose,sim,Simulate stock levels and reorder pressure. Optimized for verbose mode.,medium,none,pro,Simulation,verbose,inventory|sim,60,8.06
Store Inventory Safe,sim.store-inventory.safe,Magnexis APIHub > Sim,api-sim-store-inventory-safe,sim,Simulate stock levels and reorder pressure. Optimized for safe mode.,medium,none,pro,Simulation,safe,inventory|safe,60,8.01
Store Inventory Adaptive,sim.store-inventory.adaptive,Magnexis APIHub > Sim,api-sim-store-inventory-adaptive,sim,Simulate stock levels and reorder pressure. Optimized for adaptive mode.,medium,none,pro,Simulation,adaptive,adaptive|inventory,60,7.72
Store Inventory Batch,sim.store-inventory.batch,Magnexis APIHub > Sim,api-sim-store-inventory-batch,sim,Simulate stock levels and reorder pressure. Optimized for batch mode.,medium,none,pro,Simulation,batch,batch|inventory,60,7.51
Social Network,sim.social-network.standard,Magnexis APIHub > Sim,api-sim-social-network,sim,Simulate connections and message spread.,high,none,pro,Simulation,standard,sim|simulation,30,7.59
Social Network Fast,sim.social-network.fast,Magnexis APIHub > Sim,api-sim-social-network-fast,sim,Simulate connections and message spread. Optimized for fast mode.,high,none,pro,Simulation,fast,fast|sim,30,8.21
Social Network Deep,sim.social-network.deep,Magnexis APIHub > Sim,api-sim-social-network-deep,sim,Simulate connections and message spread. Optimized for deep mode.,high,none,pro,Simulation,deep,deep|sim,30,8.42
Social Network Strict,sim.social-network.strict,Magnexis APIHub > Sim,api-sim-social-network-strict,sim,Simulate connections and message spread. Optimized for strict mode.,high,none,pro,Simulation,strict,sim|simulation,30,8.00
Social Network Creative,sim.social-network.creative,Magnexis APIHub > Sim,api-sim-social-network-creative,sim,Simulate connections and message spread. Optimized for creative mode.,high,none,pro,Simulation,creative,creative|sim,30,7.71
Social Network Compact,sim.social-network.compact,Magnexis APIHub > Sim,api-sim-social-network-compact,sim,Simulate connections and message spread. Optimized for compact mode.,high,none,pro,Simulation,compact,compact|sim,30,8.17
Social Network Verbose,sim.social-network.verbose,Magnexis APIHub > Sim,api-sim-social-network-verbose,sim,Simulate connections and message spread. Optimized for verbose mode.,high,none,pro,Simulation,verbose,sim|simulation,30,7.96
Social Network Safe,sim.social-network.safe,Magnexis APIHub > Sim,api-sim-social-network-safe,sim,Simulate connections and message spread. Optimized for safe mode.,high,none,pro,Simulation,safe,safe|sim,30,8.44
Social Network Adaptive,sim.social-network.adaptive,Magnexis APIHub > Sim,api-sim-social-network-adaptive,sim,Simulate connections and message spread. Optimized for adaptive mode.,high,none,pro,Simulation,adaptive,adaptive|sim,30,7.91
Social Network Batch,sim.social-network.batch,Magnexis APIHub > Sim,api-sim-social-network-batch,sim,Simulate connections and message spread. Optimized for batch mode.,high,none,pro,Simulation,batch,batch|sim,30,8.25
Quiz Generator,edu.quiz-generator.standard,Magnexis APIHub > Edu,api-edu-quiz-generator,edu,Create a quiz from a topic or source text.,medium,none,free,Generation,standard,edu|generation,60,8.43
Quiz Generator Fast,edu.quiz-generator.fast,Magnexis APIHub > Edu,api-edu-quiz-generator-fast,edu,Create a quiz from a topic or source text. Optimized for fast mode.,medium,none,pro,Generation,fast,edu|fast,60,7.64
Quiz Generator Deep,edu.quiz-generator.deep,Magnexis APIHub > Edu,api-edu-quiz-generator-deep,edu,Create a quiz from a topic or source text. Optimized for deep mode.,medium,none,pro,Generation,deep,deep|edu,60,7.63
Quiz Generator Strict,edu.quiz-generator.strict,Magnexis APIHub > Edu,api-edu-quiz-generator-strict,edu,Create a quiz from a topic or source text. Optimized for strict mode.,medium,none,pro,Generation,strict,edu|generation,60,7.66
Quiz Generator Creative,edu.quiz-generator.creative,Magnexis APIHub > Edu,api-edu-quiz-generator-creative,edu,Create a quiz from a topic or source text. Optimized for creative mode.,medium,none,pro,Generation,creative,creative|edu,60,8.05
Quiz Generator Compact,edu.quiz-generator.compact,Magnexis APIHub > Edu,api-edu-quiz-generator-compact,edu,Create a quiz from a topic or source text. Optimized for compact mode.,medium,none,pro,Generation,compact,compact|edu,60,7.76
Quiz Generator Verbose,edu.quiz-generator.verbose,Magnexis APIHub > Edu,api-edu-quiz-generator-verbose,edu,Create a quiz from a topic or source text. Optimized for verbose mode.,medium,none,pro,Generation,verbose,edu|generation,60,7.81
Quiz Generator Safe,edu.quiz-generator.safe,Magnexis APIHub > Edu,api-edu-quiz-generator-safe,edu,Create a quiz from a topic or source text. Optimized for safe mode.,medium,none,pro,Generation,safe,edu|generation,60,7.96
Quiz Generator Adaptive,edu.quiz-generator.adaptive,Magnexis APIHub > Edu,api-edu-quiz-generator-adaptive,edu,Create a quiz from a topic or source text. Optimized for adaptive mode.,medium,none,pro,Generation,adaptive,adaptive|edu,60,7.72
Quiz Generator Batch,edu.quiz-generator.batch,Magnexis APIHub > Edu,api-edu-quiz-generator-batch,edu,Create a quiz from a topic or source text. Optimized for batch mode.,medium,none,pro,Generation,batch,batch|edu,60,8.20
Flashcards,edu.flashcards.standard,Magnexis APIHub > Edu,api-edu-flashcards,edu,Generate study flashcards from notes.,medium,none,free,Generation,standard,edu|flashcards,60,8.59
Flashcards Fast,edu.flashcards.fast,Magnexis APIHub > Edu,api-edu-flashcards-fast,edu,Generate study flashcards from notes. Optimized for fast mode.,medium,none,pro,Generation,fast,edu|fast,60,8.08
Flashcards Deep,edu.flashcards.deep,Magnexis APIHub > Edu,api-edu-flashcards-deep,edu,Generate study flashcards from notes. Optimized for deep mode.,medium,none,pro,Generation,deep,deep|edu,60,8.48
Flashcards Strict,edu.flashcards.strict,Magnexis APIHub > Edu,api-edu-flashcards-strict,edu,Generate study flashcards from notes. Optimized for strict mode.,medium,none,pro,Generation,strict,edu|flashcards,60,8.13
Flashcards Creative,edu.flashcards.creative,Magnexis APIHub > Edu,api-edu-flashcards-creative,edu,Generate study flashcards from notes. Optimized for creative mode.,medium,none,pro,Generation,creative,creative|edu,60,8.55
Flashcards Compact,edu.flashcards.compact,Magnexis APIHub > Edu,api-edu-flashcards-compact,edu,Generate study flashcards from notes. Optimized for compact mode.,medium,none,pro,Generation,compact,compact|edu,60,8.44
Flashcards Verbose,edu.flashcards.verbose,Magnexis APIHub > Edu,api-edu-flashcards-verbose,edu,Generate study flashcards from notes. Optimized for verbose mode.,medium,none,pro,Generation,verbose,edu|flashcards,60,8.01
Flashcards Safe,edu.flashcards.safe,Magnexis APIHub > Edu,api-edu-flashcards-safe,edu,Generate study flashcards from notes. Optimized for safe mode.,medium,none,pro,Generation,safe,edu|flashcards,60,8.08
Flashcards Adaptive,edu.flashcards.adaptive,Magnexis APIHub > Edu,api-edu-flashcards-adaptive,edu,Generate study flashcards from notes. Optimized for adaptive mode.,medium,none,pro,Generation,adaptive,adaptive|edu,60,8.27
Flashcards Batch,edu.flashcards.batch,Magnexis APIHub > Edu,api-edu-flashcards-batch,edu,Generate study flashcards from notes. Optimized for batch mode.,medium,none,pro,Generation,batch,batch|edu,60,8.41
Study Plan,edu.study-plan.standard,Magnexis APIHub > Edu,api-edu-study-plan,edu,Create a structured study plan.,medium,none,free,Generation,standard,edu|generation,60,8.28
Study Plan Fast,edu.study-plan.fast,Magnexis APIHub > Edu,api-edu-study-plan-fast,edu,Create a structured study plan. Optimized for fast mode.,medium,none,pro,Generation,fast,edu|fast,60,8.31
Study Plan Deep,edu.study-plan.deep,Magnexis APIHub > Edu,api-edu-study-plan-deep,edu,Create a structured study plan. Optimized for deep mode.,medium,none,pro,Generation,deep,deep|edu,60,7.84
Study Plan Strict,edu.study-plan.strict,Magnexis APIHub > Edu,api-edu-study-plan-strict,edu,Create a structured study plan. Optimized for strict mode.,medium,none,pro,Generation,strict,edu|generation,60,7.85
Study Plan Creative,edu.study-plan.creative,Magnexis APIHub > Edu,api-edu-study-plan-creative,edu,Create a structured study plan. Optimized for creative mode.,medium,none,pro,Generation,creative,creative|edu,60,7.94
Study Plan Compact,edu.study-plan.compact,Magnexis APIHub > Edu,api-edu-study-plan-compact,edu,Create a structured study plan. Optimized for compact mode.,medium,none,pro,Generation,compact,compact|edu,60,8.13
Study Plan Verbose,edu.study-plan.verbose,Magnexis APIHub > Edu,api-edu-study-plan-verbose,edu,Create a structured study plan. Optimized for verbose mode.,medium,none,pro,Generation,verbose,edu|generation,60,8.74
Study Plan Safe,edu.study-plan.safe,Magnexis APIHub > Edu,api-edu-study-plan-safe,edu,Create a structured study plan. Optimized for safe mode.,medium,none,pro,Generation,safe,edu|generation,60,7.93
Study Plan Adaptive,edu.study-plan.adaptive,Magnexis APIHub > Edu,api-edu-study-plan-adaptive,edu,Create a structured study plan. Optimized for adaptive mode.,medium,none,pro,Generation,adaptive,adaptive|edu,60,8.17
Study Plan Batch,edu.study-plan.batch,Magnexis APIHub > Edu,api-edu-study-plan-batch,edu,Create a structured study plan. Optimized for batch mode.,medium,none,pro,Generation,batch,batch|edu,60,8.34
Concept Map,edu.concept-map.standard,Magnexis APIHub > Edu,api-edu-concept-map,edu,Turn a topic into connected concepts.,high,none,pro,Generation,standard,edu|generation,30,8.35
Concept Map Fast,edu.concept-map.fast,Magnexis APIHub > Edu,api-edu-concept-map-fast,edu,Turn a topic into connected concepts. Optimized for fast mode.,high,none,pro,Generation,fast,edu|fast,30,8.00
Concept Map Deep,edu.concept-map.deep,Magnexis APIHub > Edu,api-edu-concept-map-deep,edu,Turn a topic into connected concepts. Optimized for deep mode.,high,none,pro,Generation,deep,deep|edu,30,8.82
Concept Map Strict,edu.concept-map.strict,Magnexis APIHub > Edu,api-edu-concept-map-strict,edu,Turn a topic into connected concepts. Optimized for strict mode.,high,none,pro,Generation,strict,edu|generation,30,7.99
Concept Map Creative,edu.concept-map.creative,Magnexis APIHub > Edu,api-edu-concept-map-creative,edu,Turn a topic into connected concepts. Optimized for creative mode.,high,none,pro,Generation,creative,creative|edu,30,8.27
Concept Map Compact,edu.concept-map.compact,Magnexis APIHub > Edu,api-edu-concept-map-compact,edu,Turn a topic into connected concepts. Optimized for compact mode.,high,none,pro,Generation,compact,compact|edu,30,8.11
Concept Map Verbose,edu.concept-map.verbose,Magnexis APIHub > Edu,api-edu-concept-map-verbose,edu,Turn a topic into connected concepts. Optimized for verbose mode.,high,none,pro,Generation,verbose,edu|generation,30,7.98
Concept Map Safe,edu.concept-map.safe,Magnexis APIHub > Edu,api-edu-concept-map-safe,edu,Turn a topic into connected concepts. Optimized for safe mode.,high,none,pro,Generation,safe,edu|generation,30,8.75
Concept Map Adaptive,edu.concept-map.adaptive,Magnexis APIHub > Edu,api-edu-concept-map-adaptive,edu,Turn a topic into connected concepts. Optimized for adaptive mode.,high,none,pro,Generation,adaptive,adaptive|edu,30,8.18
Concept Map Batch,edu.concept-map.batch,Magnexis APIHub > Edu,api-edu-concept-map-batch,edu,Turn a topic into connected concepts. Optimized for batch mode.,high,none,pro,Generation,batch,batch|edu,30,8.36
Grade Estimator,edu.grade-estimator.standard,Magnexis APIHub > Edu,api-edu-grade-estimator,edu,Estimate assignment grade from rubric signals.,medium,none,free,Analysis,standard,analysis|edu,60,8.73
Grade Estimator Fast,edu.grade-estimator.fast,Magnexis APIHub > Edu,api-edu-grade-estimator-fast,edu,Estimate assignment grade from rubric signals. Optimized for fast mode.,medium,none,pro,Analysis,fast,analysis|edu,60,8.19
