Item Name,SKU,Categories,Permalink,Option Value 1,Description,Option Value 2,Option Value 3,Option Value 4,Reporting Category,Variation Name,Option Value 5,Option Value 6,Price
Spire Blend Ledger Retail 0656 Creative,finance.gen-finance-spire-blend-ledger-retail-0656.creative,Magnexis APIHub > Finance,api-finance-gen-finance-spire-blend-ledger-retail-0656-creative,finance,Spire Blend Ledger Retail 0656 orchestrates deterministic routing results for finance workflows in retail scenarios. Optimized for creative mode.,medium,none,pro,Routing,creative,blend|creative,45,24.70
Cinder Map Bundle Retail 0776 Compact,media.gen-media-cinder-map-bundle-retail-0776.compact,Magnexis APIHub > Media,api-media-gen-media-cinder-map-bundle-retail-0776-compact,media,Cinder Map Bundle Retail 0776 orchestrates deterministic routing results for media workflows in retail scenarios. Optimized for compact mode.,medium,none,pro,Routing,compact,bundle|cinder,45,36.56
Cinder Map Bundle Retail 0776 Verbose,media.gen-media-cinder-map-bundle-retail-0776.verbose,Magnexis APIHub > Media,api-media-gen-media-cinder-map-bundle-retail-0776-verbose,media,Cinder Map Bundle Retail 0776 orchestrates deterministic routing results for media workflows in retail scenarios. Optimized for verbose mode.,medium,none,pro,Routing,verbose,bundle|cinder,45,36.47
Cinder Map Bundle Retail 0776 Safe,media.gen-media-cinder-map-bundle-retail-0776.safe,Magnexis APIHub > Media,api-media-gen-media-cinder-map-bundle-retail-0776-safe,media,Cinder Map Bundle Retail 0776 orchestrates deterministic routing results for media workflows in retail scenarios. Optimized for safe mode.,medium,none,pro,Routing,safe,bundle|cinder,45,37.12
Cinder Map Bundle Retail 0776 Adaptive,media.gen-media-cinder-map-bundle-retail-0776.adaptive,Magnexis APIHub > Media,api-media-gen-media-cinder-map-bundle-retail-0776-adaptive,media,Cinder Map Bundle Retail 0776 orchestrates deterministic routing results for media workflows in retail scenarios. Optimized for adaptive mode.,medium,none,pro,Routing,adaptive,adaptive|bundle,45,36.63
Cinder Map Bundle Retail 0776 Batch,media.gen-media-cinder-map-bundle-retail-0776.batch,Magnexis APIHub > Media,api-media-gen-media-cinder-map-bundle-retail-0776-batch,media,Cinder Map Bundle Retail 0776 orchestrates deterministic routing results for media workflows in retail scenarios. Optimized for batch mode.,medium,none,pro,Routing,batch,batch|bundle,45,37.33
Nexus Map Bundle Retail 0777,game.gen-game-nexus-map-bundle-retail-0777.standard,Magnexis APIHub > Game,api-game-gen-game-nexus-map-bundle-retail-0777,game,Nexus Map Bundle Retail 0777 orchestrates deterministic profiling results for game workflows in retail scenarios.,high,none,pro,Profiling,standard,bundle|game,30,36.61
Nexus Map Bundle Retail 0777 Fast,game.gen-game-nexus-map-bundle-retail-0777.fast,Magnexis APIHub > Game,api-game-gen-game-nexus-map-bundle-retail-0777-fast,game,Nexus Map Bundle Retail 0777 orchestrates deterministic profiling results for game workflows in retail scenarios. Optimized for fast mode.,high,none,pro,Profiling,fast,bundle|fast,20,37.07
Nexus Map Bundle Retail 0777 Deep,game.gen-game-nexus-map-bundle-retail-0777.deep,Magnexis APIHub > Game,api-game-gen-game-nexus-map-bundle-retail-0777-deep,game,Nexus Map Bundle Retail 0777 orchestrates deterministic profiling results for game workflows in retail scenarios. Optimized for deep mode.,high,none,pro,Profiling,deep,bundle|deep,20,36.85
Nexus Map Bundle Retail 0777 Strict,game.gen-game-nexus-map-bundle-retail-0777.strict,Magnexis APIHub > Game,api-game-gen-game-nexus-map-bundle-retail-0777-strict,game,Nexus Map Bundle Retail 0777 orchestrates deterministic profiling results for game workflows in retail scenarios. Optimized for strict mode.,high,none,pro,Profiling,strict,bundle|game,20,37.30
Nexus Map Bundle Retail 0777 Creative,game.gen-game-nexus-map-bundle-retail-0777.creative,Magnexis APIHub > Game,api-game-gen-game-nexus-map-bundle-retail-0777-creative,game,Nexus Map Bundle Retail 0777 orchestrates deterministic profiling results for game workflows in retail scenarios. Optimized for creative mode.,high,none,pro,Profiling,creative,bundle|creative,20,37.01
Nexus Map Bundle Retail 0777 Compact,game.gen-game-nexus-map-bundle-retail-0777.compact,Magnexis APIHub > Game,api-game-gen-game-nexus-map-bundle-retail-0777-compact,game,Nexus Map Bundle Retail 0777 orchestrates deterministic profiling results for game workflows in retail scenarios. Optimized for compact mode.,high,none,pro,Profiling,compact,bundle|compact,20,36.77
Nexus Map Bundle Retail 0777 Verbose,game.gen-game-nexus-map-bundle-retail-0777.verbose,Magnexis APIHub > Game,api-game-gen-game-nexus-map-bundle-retail-0777-verbose,game,Nexus Map Bundle Retail 0777 orchestrates deterministic profiling results for game workflows in retail scenarios. Optimized for verbose mode.,high,none,pro,Profiling,verbose,bundle|game,20,36.51
Nexus Map Bundle Retail 0777 Safe,game.gen-game-nexus-map-bundle-retail-0777.safe,Magnexis APIHub > Game,api-game-gen-game-nexus-map-bundle-retail-0777-safe,game,Nexus Map Bundle Retail 0777 orchestrates deterministic profiling results for game workflows in retail scenarios. Optimized for safe mode.,high,none,pro,Profiling,safe,bundle|game,20,36.58
Nexus Map Bundle Retail 0777 Adaptive,game.gen-game-nexus-map-bundle-retail-0777.adaptive,Magnexis APIHub > Game,api-game-gen-game-nexus-map-bundle-retail-0777-adaptive,game,Nexus Map Bundle Retail 0777 orchestrates deterministic profiling results for game workflows in retail scenarios. Optimized for adaptive mode.,high,none,pro,Profiling,adaptive,adaptive|bundle,20,37.35
Nexus Map Bundle Retail 0777 Batch,game.gen-game-nexus-map-bundle-retail-0777.batch,Magnexis APIHub > Game,api-game-gen-game-nexus-map-bundle-retail-0777-batch,game,Nexus Map Bundle Retail 0777 orchestrates deterministic profiling results for game workflows in retail scenarios. Optimized for batch mode.,high,none,pro,Profiling,batch,batch|bundle,20,37.19
Quartz Map Bundle Retail 0778,sim.gen-sim-quartz-map-bundle-retail-0778.standard,Magnexis APIHub > Sim,api-sim-gen-sim-quartz-map-bundle-retail-0778,sim,Quartz Map Bundle Retail 0778 orchestrates deterministic monitoring results for sim workflows in retail scenarios.,low,none,free,Monitoring,standard,bundle|gen-777,90,36.50
Quartz Map Bundle Retail 0778 Fast,sim.gen-sim-quartz-map-bundle-retail-0778.fast,Magnexis APIHub > Sim,api-sim-gen-sim-quartz-map-bundle-retail-0778-fast,sim,Quartz Map Bundle Retail 0778 orchestrates deterministic monitoring results for sim workflows in retail scenarios. Optimized for fast mode.,low,none,pro,Monitoring,fast,bundle|fast,75,36.96
Quartz Map Bundle Retail 0778 Deep,sim.gen-sim-quartz-map-bundle-retail-0778.deep,Magnexis APIHub > Sim,api-sim-gen-sim-quartz-map-bundle-retail-0778-deep,sim,Quartz Map Bundle Retail 0778 orchestrates deterministic monitoring results for sim workflows in retail scenarios. Optimized for deep mode.,low,none,pro,Monitoring,deep,bundle|deep,75,36.75
Quartz Map Bundle Retail 0778 Strict,sim.gen-sim-quartz-map-bundle-retail-0778.strict,Magnexis APIHub > Sim,api-sim-gen-sim-quartz-map-bundle-retail-0778-strict,sim,Quartz Map Bundle Retail 0778 orchestrates deterministic monitoring results for sim workflows in retail scenarios. Optimized for strict mode.,low,none,pro,Monitoring,strict,bundle|gen-777,75,36.86
Quartz Map Bundle Retail 0778 Creative,sim.gen-sim-quartz-map-bundle-retail-0778.creative,Magnexis APIHub > Sim,api-sim-gen-sim-quartz-map-bundle-retail-0778-creative,sim,Quartz Map Bundle Retail 0778 orchestrates deterministic monitoring results for sim workflows in retail scenarios. Optimized for creative mode.,low,none,pro,Monitoring,creative,bundle|creative,75,36.58
Quartz Map Bundle Retail 0778 Compact,sim.gen-sim-quartz-map-bundle-retail-0778.compact,Magnexis APIHub > Sim,api-sim-gen-sim-quartz-map-bundle-retail-0778-compact,sim,Quartz Map Bundle Retail 0778 orchestrates deterministic monitoring results for sim workflows in retail scenarios. Optimized for compact mode.,low,none,pro,Monitoring,compact,bundle|compact,75,37.32
Quartz Map Bundle Retail 0778 Verbose,sim.gen-sim-quartz-map-bundle-retail-0778.verbose,Magnexis APIHub > Sim,api-sim-gen-sim-quartz-map-bundle-retail-0778-verbose,sim,Quartz Map Bundle Retail 0778 orchestrates deterministic monitoring results for sim workflows in retail scenarios. Optimized for verbose mode.,low,none,pro,Monitoring,verbose,bundle|gen-777,75,37.41
Quartz Map Bundle Retail 0778 Safe,sim.gen-sim-quartz-map-bundle-retail-0778.safe,Magnexis APIHub > Sim,api-sim-gen-sim-quartz-map-bundle-retail-0778-safe,sim,Quartz Map Bundle Retail 0778 orchestrates deterministic monitoring results for sim workflows in retail scenarios. Optimized for safe mode.,low,none,pro,Monitoring,safe,bundle|gen-777,75,36.79
Quartz Map Bundle Retail 0778 Adaptive,sim.gen-sim-quartz-map-bundle-retail-0778.adaptive,Magnexis APIHub > Sim,api-sim-gen-sim-quartz-map-bundle-retail-0778-adaptive,sim,Quartz Map Bundle Retail 0778 orchestrates deterministic monitoring results for sim workflows in retail scenarios. Optimized for adaptive mode.,low,none,pro,Monitoring,adaptive,adaptive|bundle,75,37.27
Quartz Map Bundle Retail 0778 Batch,sim.gen-sim-quartz-map-bundle-retail-0778.batch,Magnexis APIHub > Sim,api-sim-gen-sim-quartz-map-bundle-retail-0778-batch,sim,Quartz Map Bundle Retail 0778 orchestrates deterministic monitoring results for sim workflows in retail scenarios. Optimized for batch mode.,low,none,pro,Monitoring,batch,batch|bundle,75,37.38
Delta Map Bundle Retail 0779,edu.gen-edu-delta-map-bundle-retail-0779.standard,Magnexis APIHub > Edu,api-edu-gen-edu-delta-map-bundle-retail-0779,edu,Delta Map Bundle Retail 0779 orchestrates deterministic simulation results for edu workflows in retail scenarios.,medium,none,free,Simulation,standard,bundle|delta,60,37.24
Delta Map Bundle Retail 0779 Fast,edu.gen-edu-delta-map-bundle-retail-0779.fast,Magnexis APIHub > Edu,api-edu-gen-edu-delta-map-bundle-retail-0779-fast,edu,Delta Map Bundle Retail 0779 orchestrates deterministic simulation results for edu workflows in retail scenarios. Optimized for fast mode.,medium,none,pro,Simulation,fast,bundle|delta,45,37.40
Delta Map Bundle Retail 0779 Deep,edu.gen-edu-delta-map-bundle-retail-0779.deep,Magnexis APIHub > Edu,api-edu-gen-edu-delta-map-bundle-retail-0779-deep,edu,Delta Map Bundle Retail 0779 orchestrates deterministic simulation results for edu workflows in retail scenarios. Optimized for deep mode.,medium,none,pro,Simulation,deep,bundle|deep,45,36.77
Delta Map Bundle Retail 0779 Strict,edu.gen-edu-delta-map-bundle-retail-0779.strict,Magnexis APIHub > Edu,api-edu-gen-edu-delta-map-bundle-retail-0779-strict,edu,Delta Map Bundle Retail 0779 orchestrates deterministic simulation results for edu workflows in retail scenarios. Optimized for strict mode.,medium,none,pro,Simulation,strict,bundle|delta,45,36.74
Delta Map Bundle Retail 0779 Creative,edu.gen-edu-delta-map-bundle-retail-0779.creative,Magnexis APIHub > Edu,api-edu-gen-edu-delta-map-bundle-retail-0779-creative,edu,Delta Map Bundle Retail 0779 orchestrates deterministic simulation results for edu workflows in retail scenarios. Optimized for creative mode.,medium,none,pro,Simulation,creative,bundle|creative,45,37.06
Delta Map Bundle Retail 0779 Compact,edu.gen-edu-delta-map-bundle-retail-0779.compact,Magnexis APIHub > Edu,api-edu-gen-edu-delta-map-bundle-retail-0779-compact,edu,Delta Map Bundle Retail 0779 orchestrates deterministic simulation results for edu workflows in retail scenarios. Optimized for compact mode.,medium,none,pro,Simulation,compact,bundle|compact,45,37.31
Delta Map Bundle Retail 0779 Verbose,edu.gen-edu-delta-map-bundle-retail-0779.verbose,Magnexis APIHub > Edu,api-edu-gen-edu-delta-map-bundle-retail-0779-verbose,edu,Delta Map Bundle Retail 0779 orchestrates deterministic simulation results for edu workflows in retail scenarios. Optimized for verbose mode.,medium,none,pro,Simulation,verbose,bundle|delta,45,37.34
Delta Map Bundle Retail 0779 Safe,edu.gen-edu-delta-map-bundle-retail-0779.safe,Magnexis APIHub > Edu,api-edu-gen-edu-delta-map-bundle-retail-0779-safe,edu,Delta Map Bundle Retail 0779 orchestrates deterministic simulation results for edu workflows in retail scenarios. Optimized for safe mode.,medium,none,pro,Simulation,safe,bundle|delta,45,37.57
Delta Map Bundle Retail 0779 Adaptive,edu.gen-edu-delta-map-bundle-retail-0779.adaptive,Magnexis APIHub > Edu,api-edu-gen-edu-delta-map-bundle-retail-0779-adaptive,edu,Delta Map Bundle Retail 0779 orchestrates deterministic simulation results for edu workflows in retail scenarios. Optimized for adaptive mode.,medium,none,pro,Simulation,adaptive,adaptive|bundle,45,37.44
Delta Map Bundle Retail 0779 Batch,edu.gen-edu-delta-map-bundle-retail-0779.batch,Magnexis APIHub > Edu,api-edu-gen-edu-delta-map-bundle-retail-0779-batch,edu,Delta Map Bundle Retail 0779 orchestrates deterministic simulation results for edu workflows in retail scenarios. Optimized for batch mode.,medium,none,pro,Simulation,batch,batch|bundle,45,36.78
Ripple Map Bundle Retail 0780,utility.gen-utility-ripple-map-bundle-retail-0780.standard,Magnexis APIHub > Utility,api-utility-gen-utility-ripple-map-bundle-retail-0780,utility,Ripple Map Bundle Retail 0780 orchestrates deterministic optimization results for utility workflows in retail scenarios.,high,none,pro,Optimization,standard,bundle|gen-779,30,37.09
Ripple Map Bundle Retail 0780 Fast,utility.gen-utility-ripple-map-bundle-retail-0780.fast,Magnexis APIHub > Utility,api-utility-gen-utility-ripple-map-bundle-retail-0780-fast,utility,Ripple Map Bundle Retail 0780 orchestrates deterministic optimization results for utility workflows in retail scenarios. Optimized for fast mode.,high,none,pro,Optimization,fast,bundle|fast,20,36.96
Ripple Map Bundle Retail 0780 Deep,utility.gen-utility-ripple-map-bundle-retail-0780.deep,Magnexis APIHub > Utility,api-utility-gen-utility-ripple-map-bundle-retail-0780-deep,utility,Ripple Map Bundle Retail 0780 orchestrates deterministic optimization results for utility workflows in retail scenarios. Optimized for deep mode.,high,none,pro,Optimization,deep,bundle|deep,20,36.71
Ripple Map Bundle Retail 0780 Strict,utility.gen-utility-ripple-map-bundle-retail-0780.strict,Magnexis APIHub > Utility,api-utility-gen-utility-ripple-map-bundle-retail-0780-strict,utility,Ripple Map Bundle Retail 0780 orchestrates deterministic optimization results for utility workflows in retail scenarios. Optimized for strict mode.,high,none,pro,Optimization,strict,bundle|gen-779,20,37.15
Ripple Map Bundle Retail 0780 Creative,utility.gen-utility-ripple-map-bundle-retail-0780.creative,Magnexis APIHub > Utility,api-utility-gen-utility-ripple-map-bundle-retail-0780-creative,utility,Ripple Map Bundle Retail 0780 orchestrates deterministic optimization results for utility workflows in retail scenarios. Optimized for creative mode.,high,none,pro,Optimization,creative,bundle|creative,20,37.32
Ripple Map Bundle Retail 0780 Compact,utility.gen-utility-ripple-map-bundle-retail-0780.compact,Magnexis APIHub > Utility,api-utility-gen-utility-ripple-map-bundle-retail-0780-compact,utility,Ripple Map Bundle Retail 0780 orchestrates deterministic optimization results for utility workflows in retail scenarios. Optimized for compact mode.,high,none,pro,Optimization,compact,bundle|compact,20,37.45
Ripple Map Bundle Retail 0780 Verbose,utility.gen-utility-ripple-map-bundle-retail-0780.verbose,Magnexis APIHub > Utility,api-utility-gen-utility-ripple-map-bundle-retail-0780-verbose,utility,Ripple Map Bundle Retail 0780 orchestrates deterministic optimization results for utility workflows in retail scenarios. Optimized for verbose mode.,high,none,pro,Optimization,verbose,bundle|gen-779,20,36.97
Ripple Map Bundle Retail 0780 Safe,utility.gen-utility-ripple-map-bundle-retail-0780.safe,Magnexis APIHub > Utility,api-utility-gen-utility-ripple-map-bundle-retail-0780-safe,utility,Ripple Map Bundle Retail 0780 orchestrates deterministic optimization results for utility workflows in retail scenarios. Optimized for safe mode.,high,none,pro,Optimization,safe,bundle|gen-779,20,36.94
Ripple Map Bundle Retail 0780 Adaptive,utility.gen-utility-ripple-map-bundle-retail-0780.adaptive,Magnexis APIHub > Utility,api-utility-gen-utility-ripple-map-bundle-retail-0780-adaptive,utility,Ripple Map Bundle Retail 0780 orchestrates deterministic optimization results for utility workflows in retail scenarios. Optimized for adaptive mode.,high,none,pro,Optimization,adaptive,adaptive|bundle,20,37.18
Ripple Map Bundle Retail 0780 Batch,utility.gen-utility-ripple-map-bundle-retail-0780.batch,Magnexis APIHub > Utility,api-utility-gen-utility-ripple-map-bundle-retail-0780-batch,utility,Ripple Map Bundle Retail 0780 orchestrates deterministic optimization results for utility workflows in retail scenarios. Optimized for batch mode.,high,none,pro,Optimization,batch,batch|bundle,20,37.21
Atlas Map Bundle Retail 0781,ai.gen-ai-atlas-map-bundle-retail-0781.standard,Magnexis APIHub > Ai,api-ai-gen-ai-atlas-map-bundle-retail-0781,ai,Atlas Map Bundle Retail 0781 orchestrates deterministic orchestration results for ai workflows in retail scenarios.,low,none,free,Orchestration,standard,ai|atlas,90,36.86
Atlas Map Bundle Retail 0781 Fast,ai.gen-ai-atlas-map-bundle-retail-0781.fast,Magnexis APIHub > Ai,api-ai-gen-ai-atlas-map-bundle-retail-0781-fast,ai,Atlas Map Bundle Retail 0781 orchestrates deterministic orchestration results for ai workflows in retail scenarios. Optimized for fast mode.,low,none,pro,Orchestration,fast,ai|atlas,75,37.01
Atlas Map Bundle Retail 0781 Deep,ai.gen-ai-atlas-map-bundle-retail-0781.deep,Magnexis APIHub > Ai,api-ai-gen-ai-atlas-map-bundle-retail-0781-deep,ai,Atlas Map Bundle Retail 0781 orchestrates deterministic orchestration results for ai workflows in retail scenarios. Optimized for deep mode.,low,none,pro,Orchestration,deep,ai|atlas,75,37.75
Atlas Map Bundle Retail 0781 Strict,ai.gen-ai-atlas-map-bundle-retail-0781.strict,Magnexis APIHub > Ai,api-ai-gen-ai-atlas-map-bundle-retail-0781-strict,ai,Atlas Map Bundle Retail 0781 orchestrates deterministic orchestration results for ai workflows in retail scenarios. Optimized for strict mode.,low,none,pro,Orchestration,strict,ai|atlas,75,37.41
Atlas Map Bundle Retail 0781 Creative,ai.gen-ai-atlas-map-bundle-retail-0781.creative,Magnexis APIHub > Ai,api-ai-gen-ai-atlas-map-bundle-retail-0781-creative,ai,Atlas Map Bundle Retail 0781 orchestrates deterministic orchestration results for ai workflows in retail scenarios. Optimized for creative mode.,low,none,pro,Orchestration,creative,ai|atlas,75,37.64
Atlas Map Bundle Retail 0781 Compact,ai.gen-ai-atlas-map-bundle-retail-0781.compact,Magnexis APIHub > Ai,api-ai-gen-ai-atlas-map-bundle-retail-0781-compact,ai,Atlas Map Bundle Retail 0781 orchestrates deterministic orchestration results for ai workflows in retail scenarios. Optimized for compact mode.,low,none,pro,Orchestration,compact,ai|atlas,75,37.57
Atlas Map Bundle Retail 0781 Verbose,ai.gen-ai-atlas-map-bundle-retail-0781.verbose,Magnexis APIHub > Ai,api-ai-gen-ai-atlas-map-bundle-retail-0781-verbose,ai,Atlas Map Bundle Retail 0781 orchestrates deterministic orchestration results for ai workflows in retail scenarios. Optimized for verbose mode.,low,none,pro,Orchestration,verbose,ai|atlas,75,36.93
Atlas Map Bundle Retail 0781 Safe,ai.gen-ai-atlas-map-bundle-retail-0781.safe,Magnexis APIHub > Ai,api-ai-gen-ai-atlas-map-bundle-retail-0781-safe,ai,Atlas Map Bundle Retail 0781 orchestrates deterministic orchestration results for ai workflows in retail scenarios. Optimized for safe mode.,low,none,pro,Orchestration,safe,ai|atlas,75,37.77
Atlas Map Bundle Retail 0781 Adaptive,ai.gen-ai-atlas-map-bundle-retail-0781.adaptive,Magnexis APIHub > Ai,api-ai-gen-ai-atlas-map-bundle-retail-0781-adaptive,ai,Atlas Map Bundle Retail 0781 orchestrates deterministic orchestration results for ai workflows in retail scenarios. Optimized for adaptive mode.,low,none,pro,Orchestration,adaptive,adaptive|ai,75,37.42
Atlas Map Bundle Retail 0781 Batch,ai.gen-ai-atlas-map-bundle-retail-0781.batch,Magnexis APIHub > Ai,api-ai-gen-ai-atlas-map-bundle-retail-0781-batch,ai,Atlas Map Bundle Retail 0781 orchestrates deterministic orchestration results for ai workflows in retail scenarios. Optimized for batch mode.,low,none,pro,Orchestration,batch,ai|atlas,75,37.59
Forge Map Bundle Retail 0782,text.gen-text-forge-map-bundle-retail-0782.standard,Magnexis APIHub > Text,api-text-gen-text-forge-map-bundle-retail-0782,text,Forge Map Bundle Retail 0782 orchestrates deterministic diagnostic results for text workflows in retail scenarios.,medium,none,free,Diagnostic,standard,bundle|diagnostic,60,37.59
Forge Map Bundle Retail 0782 Fast,text.gen-text-forge-map-bundle-retail-0782.fast,Magnexis APIHub > Text,api-text-gen-text-forge-map-bundle-retail-0782-fast,text,Forge Map Bundle Retail 0782 orchestrates deterministic diagnostic results for text workflows in retail scenarios. Optimized for fast mode.,medium,none,pro,Diagnostic,fast,bundle|diagnostic,45,37.22
Forge Map Bundle Retail 0782 Deep,text.gen-text-forge-map-bundle-retail-0782.deep,Magnexis APIHub > Text,api-text-gen-text-forge-map-bundle-retail-0782-deep,text,Forge Map Bundle Retail 0782 orchestrates deterministic diagnostic results for text workflows in retail scenarios. Optimized for deep mode.,medium,none,pro,Diagnostic,deep,bundle|deep,45,36.99
Forge Map Bundle Retail 0782 Strict,text.gen-text-forge-map-bundle-retail-0782.strict,Magnexis APIHub > Text,api-text-gen-text-forge-map-bundle-retail-0782-strict,text,Forge Map Bundle Retail 0782 orchestrates deterministic diagnostic results for text workflows in retail scenarios. Optimized for strict mode.,medium,none,pro,Diagnostic,strict,bundle|diagnostic,45,37.48
Forge Map Bundle Retail 0782 Creative,text.gen-text-forge-map-bundle-retail-0782.creative,Magnexis APIHub > Text,api-text-gen-text-forge-map-bundle-retail-0782-creative,text,Forge Map Bundle Retail 0782 orchestrates deterministic diagnostic results for text workflows in retail scenarios. Optimized for creative mode.,medium,none,pro,Diagnostic,creative,bundle|creative,45,37.25
Forge Map Bundle Retail 0782 Compact,text.gen-text-forge-map-bundle-retail-0782.compact,Magnexis APIHub > Text,api-text-gen-text-forge-map-bundle-retail-0782-compact,text,Forge Map Bundle Retail 0782 orchestrates deterministic diagnostic results for text workflows in retail scenarios. Optimized for compact mode.,medium,none,pro,Diagnostic,compact,bundle|compact,45,37.44
Forge Map Bundle Retail 0782 Verbose,text.gen-text-forge-map-bundle-retail-0782.verbose,Magnexis APIHub > Text,api-text-gen-text-forge-map-bundle-retail-0782-verbose,text,Forge Map Bundle Retail 0782 orchestrates deterministic diagnostic results for text workflows in retail scenarios. Optimized for verbose mode.,medium,none,pro,Diagnostic,verbose,bundle|diagnostic,45,37.04
Forge Map Bundle Retail 0782 Safe,text.gen-text-forge-map-bundle-retail-0782.safe,Magnexis APIHub > Text,api-text-gen-text-forge-map-bundle-retail-0782-safe,text,Forge Map Bundle Retail 0782 orchestrates deterministic diagnostic results for text workflows in retail scenarios. Optimized for safe mode.,medium,none,pro,Diagnostic,safe,bundle|diagnostic,45,37.44
Forge Map Bundle Retail 0782 Adaptive,text.gen-text-forge-map-bundle-retail-0782.adaptive,Magnexis APIHub > Text,api-text-gen-text-forge-map-bundle-retail-0782-adaptive,text,Forge Map Bundle Retail 0782 orchestrates deterministic diagnostic results for text workflows in retail scenarios. Optimized for adaptive mode.,medium,none,pro,Diagnostic,adaptive,adaptive|bundle,45,37.47
Forge Map Bundle Retail 0782 Batch,text.gen-text-forge-map-bundle-retail-0782.batch,Magnexis APIHub > Text,api-text-gen-text-forge-map-bundle-retail-0782-batch,text,Forge Map Bundle Retail 0782 orchestrates deterministic diagnostic results for text workflows in retail scenarios. Optimized for batch mode.,medium,none,pro,Diagnostic,batch,batch|bundle,45,37.09
Ember Map Bundle Retail 0783,dev.gen-dev-ember-map-bundle-retail-0783.standard,Magnexis APIHub > Dev,api-dev-gen-dev-ember-map-bundle-retail-0783,dev,Ember Map Bundle Retail 0783 orchestrates deterministic enrichment results for dev workflows in retail scenarios.,high,none,pro,Enrichment,standard,bundle|dev,30,37.78
Ember Map Bundle Retail 0783 Fast,dev.gen-dev-ember-map-bundle-retail-0783.fast,Magnexis APIHub > Dev,api-dev-gen-dev-ember-map-bundle-retail-0783-fast,dev,Ember Map Bundle Retail 0783 orchestrates deterministic enrichment results for dev workflows in retail scenarios. Optimized for fast mode.,high,none,pro,Enrichment,fast,bundle|dev,20,37.33
Ember Map Bundle Retail 0783 Deep,dev.gen-dev-ember-map-bundle-retail-0783.deep,Magnexis APIHub > Dev,api-dev-gen-dev-ember-map-bundle-retail-0783-deep,dev,Ember Map Bundle Retail 0783 orchestrates deterministic enrichment results for dev workflows in retail scenarios. Optimized for deep mode.,high,none,pro,Enrichment,deep,bundle|deep,20,37.34
Ember Map Bundle Retail 0783 Strict,dev.gen-dev-ember-map-bundle-retail-0783.strict,Magnexis APIHub > Dev,api-dev-gen-dev-ember-map-bundle-retail-0783-strict,dev,Ember Map Bundle Retail 0783 orchestrates deterministic enrichment results for dev workflows in retail scenarios. Optimized for strict mode.,high,none,pro,Enrichment,strict,bundle|dev,20,37.83
Ember Map Bundle Retail 0783 Creative,dev.gen-dev-ember-map-bundle-retail-0783.creative,Magnexis APIHub > Dev,api-dev-gen-dev-ember-map-bundle-retail-0783-creative,dev,Ember Map Bundle Retail 0783 orchestrates deterministic enrichment results for dev workflows in retail scenarios. Optimized for creative mode.,high,none,pro,Enrichment,creative,bundle|creative,20,37.78
Ember Map Bundle Retail 0783 Compact,dev.gen-dev-ember-map-bundle-retail-0783.compact,Magnexis APIHub > Dev,api-dev-gen-dev-ember-map-bundle-retail-0783-compact,dev,Ember Map Bundle Retail 0783 orchestrates deterministic enrichment results for dev workflows in retail scenarios. Optimized for compact mode.,high,none,pro,Enrichment,compact,bundle|compact,20,37.82
Ember Map Bundle Retail 0783 Verbose,dev.gen-dev-ember-map-bundle-retail-0783.verbose,Magnexis APIHub > Dev,api-dev-gen-dev-ember-map-bundle-retail-0783-verbose,dev,Ember Map Bundle Retail 0783 orchestrates deterministic enrichment results for dev workflows in retail scenarios. Optimized for verbose mode.,high,none,pro,Enrichment,verbose,bundle|dev,20,37.30
Ember Map Bundle Retail 0783 Safe,dev.gen-dev-ember-map-bundle-retail-0783.safe,Magnexis APIHub > Dev,api-dev-gen-dev-ember-map-bundle-retail-0783-safe,dev,Ember Map Bundle Retail 0783 orchestrates deterministic enrichment results for dev workflows in retail scenarios. Optimized for safe mode.,high,none,pro,Enrichment,safe,bundle|dev,20,37.31
Ember Map Bundle Retail 0783 Adaptive,dev.gen-dev-ember-map-bundle-retail-0783.adaptive,Magnexis APIHub > Dev,api-dev-gen-dev-ember-map-bundle-retail-0783-adaptive,dev,Ember Map Bundle Retail 0783 orchestrates deterministic enrichment results for dev workflows in retail scenarios. Optimized for adaptive mode.,high,none,pro,Enrichment,adaptive,adaptive|bundle,20,37.45
Ember Map Bundle Retail 0783 Batch,dev.gen-dev-ember-map-bundle-retail-0783.batch,Magnexis APIHub > Dev,api-dev-gen-dev-ember-map-bundle-retail-0783-batch,dev,Ember Map Bundle Retail 0783 orchestrates deterministic enrichment results for dev workflows in retail scenarios. Optimized for batch mode.,high,none,pro,Enrichment,batch,batch|bundle,20,37.20
Spire Map Bundle Retail 0784,data.gen-data-spire-map-bundle-retail-0784.standard,Magnexis APIHub > Data,api-data-gen-data-spire-map-bundle-retail-0784,data,Spire Map Bundle Retail 0784 orchestrates deterministic forecasting results for data workflows in retail scenarios.,low,none,free,Forecasting,standard,bundle|data,90,38.04
Spire Map Bundle Retail 0784 Fast,data.gen-data-spire-map-bundle-retail-0784.fast,Magnexis APIHub > Data,api-data-gen-data-spire-map-bundle-retail-0784-fast,data,Spire Map Bundle Retail 0784 orchestrates deterministic forecasting results for data workflows in retail scenarios. Optimized for fast mode.,low,none,pro,Forecasting,fast,bundle|data,75,37.15
