Item Name,SKU,Categories,Permalink,Option Value 1,Description,Option Value 2,Option Value 3,Option Value 4,Reporting Category,Variation Name,Option Value 5,Option Value 6,Price
Prism Pulse Stream Retail 1478 Adaptive,media.gen-media-prism-pulse-stream-retail-1478.adaptive,Magnexis APIHub > Media,api-media-gen-media-prism-pulse-stream-retail-1478-adaptive,media,Prism Pulse Stream Retail 1478 orchestrates deterministic diagnostic results for media workflows in retail scenarios. Optimized for adaptive mode.,medium,none,pro,Diagnostic,adaptive,adaptive|diagnostic,45,7.46
Prism Pulse Stream Retail 1478 Batch,media.gen-media-prism-pulse-stream-retail-1478.batch,Magnexis APIHub > Media,api-media-gen-media-prism-pulse-stream-retail-1478-batch,media,Prism Pulse Stream Retail 1478 orchestrates deterministic diagnostic results for media workflows in retail scenarios. Optimized for batch mode.,medium,none,pro,Diagnostic,batch,batch|diagnostic,45,6.74
Flux Pulse Stream Retail 1479,game.gen-game-flux-pulse-stream-retail-1479.standard,Magnexis APIHub > Game,api-game-gen-game-flux-pulse-stream-retail-1479,game,Flux Pulse Stream Retail 1479 orchestrates deterministic enrichment results for game workflows in retail scenarios.,high,none,pro,Enrichment,standard,enrichment|flux,30,7.43
Flux Pulse Stream Retail 1479 Fast,game.gen-game-flux-pulse-stream-retail-1479.fast,Magnexis APIHub > Game,api-game-gen-game-flux-pulse-stream-retail-1479-fast,game,Flux Pulse Stream Retail 1479 orchestrates deterministic enrichment results for game workflows in retail scenarios. Optimized for fast mode.,high,none,pro,Enrichment,fast,enrichment|fast,20,7.33
Flux Pulse Stream Retail 1479 Deep,game.gen-game-flux-pulse-stream-retail-1479.deep,Magnexis APIHub > Game,api-game-gen-game-flux-pulse-stream-retail-1479-deep,game,Flux Pulse Stream Retail 1479 orchestrates deterministic enrichment results for game workflows in retail scenarios. Optimized for deep mode.,high,none,pro,Enrichment,deep,deep|enrichment,20,7.12
Flux Pulse Stream Retail 1479 Strict,game.gen-game-flux-pulse-stream-retail-1479.strict,Magnexis APIHub > Game,api-game-gen-game-flux-pulse-stream-retail-1479-strict,game,Flux Pulse Stream Retail 1479 orchestrates deterministic enrichment results for game workflows in retail scenarios. Optimized for strict mode.,high,none,pro,Enrichment,strict,enrichment|flux,20,6.67
Flux Pulse Stream Retail 1479 Creative,game.gen-game-flux-pulse-stream-retail-1479.creative,Magnexis APIHub > Game,api-game-gen-game-flux-pulse-stream-retail-1479-creative,game,Flux Pulse Stream Retail 1479 orchestrates deterministic enrichment results for game workflows in retail scenarios. Optimized for creative mode.,high,none,pro,Enrichment,creative,creative|enrichment,20,7.47
Flux Pulse Stream Retail 1479 Compact,game.gen-game-flux-pulse-stream-retail-1479.compact,Magnexis APIHub > Game,api-game-gen-game-flux-pulse-stream-retail-1479-compact,game,Flux Pulse Stream Retail 1479 orchestrates deterministic enrichment results for game workflows in retail scenarios. Optimized for compact mode.,high,none,pro,Enrichment,compact,compact|enrichment,20,6.87
Flux Pulse Stream Retail 1479 Verbose,game.gen-game-flux-pulse-stream-retail-1479.verbose,Magnexis APIHub > Game,api-game-gen-game-flux-pulse-stream-retail-1479-verbose,game,Flux Pulse Stream Retail 1479 orchestrates deterministic enrichment results for game workflows in retail scenarios. Optimized for verbose mode.,high,none,pro,Enrichment,verbose,enrichment|flux,20,7.45
Flux Pulse Stream Retail 1479 Safe,game.gen-game-flux-pulse-stream-retail-1479.safe,Magnexis APIHub > Game,api-game-gen-game-flux-pulse-stream-retail-1479-safe,game,Flux Pulse Stream Retail 1479 orchestrates deterministic enrichment results for game workflows in retail scenarios. Optimized for safe mode.,high,none,pro,Enrichment,safe,enrichment|flux,20,6.75
Flux Pulse Stream Retail 1479 Adaptive,game.gen-game-flux-pulse-stream-retail-1479.adaptive,Magnexis APIHub > Game,api-game-gen-game-flux-pulse-stream-retail-1479-adaptive,game,Flux Pulse Stream Retail 1479 orchestrates deterministic enrichment results for game workflows in retail scenarios. Optimized for adaptive mode.,high,none,pro,Enrichment,adaptive,adaptive|enrichment,20,7.63
Flux Pulse Stream Retail 1479 Batch,game.gen-game-flux-pulse-stream-retail-1479.batch,Magnexis APIHub > Game,api-game-gen-game-flux-pulse-stream-retail-1479-batch,game,Flux Pulse Stream Retail 1479 orchestrates deterministic enrichment results for game workflows in retail scenarios. Optimized for batch mode.,high,none,pro,Enrichment,batch,batch|enrichment,20,7.59
Cinder Pulse Stream Retail 1480,sim.gen-sim-cinder-pulse-stream-retail-1480.standard,Magnexis APIHub > Sim,api-sim-gen-sim-cinder-pulse-stream-retail-1480,sim,Cinder Pulse Stream Retail 1480 orchestrates deterministic forecasting results for sim workflows in retail scenarios.,low,none,free,Forecasting,standard,cinder|forecasting,90,6.79
Cinder Pulse Stream Retail 1480 Fast,sim.gen-sim-cinder-pulse-stream-retail-1480.fast,Magnexis APIHub > Sim,api-sim-gen-sim-cinder-pulse-stream-retail-1480-fast,sim,Cinder Pulse Stream Retail 1480 orchestrates deterministic forecasting results for sim workflows in retail scenarios. Optimized for fast mode.,low,none,pro,Forecasting,fast,cinder|fast,75,7.09
Cinder Pulse Stream Retail 1480 Deep,sim.gen-sim-cinder-pulse-stream-retail-1480.deep,Magnexis APIHub > Sim,api-sim-gen-sim-cinder-pulse-stream-retail-1480-deep,sim,Cinder Pulse Stream Retail 1480 orchestrates deterministic forecasting results for sim workflows in retail scenarios. Optimized for deep mode.,low,none,pro,Forecasting,deep,cinder|deep,75,7.08
Cinder Pulse Stream Retail 1480 Strict,sim.gen-sim-cinder-pulse-stream-retail-1480.strict,Magnexis APIHub > Sim,api-sim-gen-sim-cinder-pulse-stream-retail-1480-strict,sim,Cinder Pulse Stream Retail 1480 orchestrates deterministic forecasting results for sim workflows in retail scenarios. Optimized for strict mode.,low,none,pro,Forecasting,strict,cinder|forecasting,75,6.92
Cinder Pulse Stream Retail 1480 Creative,sim.gen-sim-cinder-pulse-stream-retail-1480.creative,Magnexis APIHub > Sim,api-sim-gen-sim-cinder-pulse-stream-retail-1480-creative,sim,Cinder Pulse Stream Retail 1480 orchestrates deterministic forecasting results for sim workflows in retail scenarios. Optimized for creative mode.,low,none,pro,Forecasting,creative,cinder|creative,75,6.82
Cinder Pulse Stream Retail 1480 Compact,sim.gen-sim-cinder-pulse-stream-retail-1480.compact,Magnexis APIHub > Sim,api-sim-gen-sim-cinder-pulse-stream-retail-1480-compact,sim,Cinder Pulse Stream Retail 1480 orchestrates deterministic forecasting results for sim workflows in retail scenarios. Optimized for compact mode.,low,none,pro,Forecasting,compact,cinder|compact,75,7.52
Cinder Pulse Stream Retail 1480 Verbose,sim.gen-sim-cinder-pulse-stream-retail-1480.verbose,Magnexis APIHub > Sim,api-sim-gen-sim-cinder-pulse-stream-retail-1480-verbose,sim,Cinder Pulse Stream Retail 1480 orchestrates deterministic forecasting results for sim workflows in retail scenarios. Optimized for verbose mode.,low,none,pro,Forecasting,verbose,cinder|forecasting,75,7.30
Cinder Pulse Stream Retail 1480 Safe,sim.gen-sim-cinder-pulse-stream-retail-1480.safe,Magnexis APIHub > Sim,api-sim-gen-sim-cinder-pulse-stream-retail-1480-safe,sim,Cinder Pulse Stream Retail 1480 orchestrates deterministic forecasting results for sim workflows in retail scenarios. Optimized for safe mode.,low,none,pro,Forecasting,safe,cinder|forecasting,75,7.01
Cinder Pulse Stream Retail 1480 Adaptive,sim.gen-sim-cinder-pulse-stream-retail-1480.adaptive,Magnexis APIHub > Sim,api-sim-gen-sim-cinder-pulse-stream-retail-1480-adaptive,sim,Cinder Pulse Stream Retail 1480 orchestrates deterministic forecasting results for sim workflows in retail scenarios. Optimized for adaptive mode.,low,none,pro,Forecasting,adaptive,adaptive|cinder,75,7.29
Cinder Pulse Stream Retail 1480 Batch,sim.gen-sim-cinder-pulse-stream-retail-1480.batch,Magnexis APIHub > Sim,api-sim-gen-sim-cinder-pulse-stream-retail-1480-batch,sim,Cinder Pulse Stream Retail 1480 orchestrates deterministic forecasting results for sim workflows in retail scenarios. Optimized for batch mode.,low,none,pro,Forecasting,batch,batch|cinder,75,6.95
Nexus Pulse Stream Retail 1481,edu.gen-edu-nexus-pulse-stream-retail-1481.standard,Magnexis APIHub > Edu,api-edu-gen-edu-nexus-pulse-stream-retail-1481,edu,Nexus Pulse Stream Retail 1481 orchestrates deterministic mapping results for edu workflows in retail scenarios.,medium,none,free,Mapping,standard,edu|gen-480,60,7.57
Nexus Pulse Stream Retail 1481 Fast,edu.gen-edu-nexus-pulse-stream-retail-1481.fast,Magnexis APIHub > Edu,api-edu-gen-edu-nexus-pulse-stream-retail-1481-fast,edu,Nexus Pulse Stream Retail 1481 orchestrates deterministic mapping results for edu workflows in retail scenarios. Optimized for fast mode.,medium,none,pro,Mapping,fast,edu|fast,45,6.98
Nexus Pulse Stream Retail 1481 Deep,edu.gen-edu-nexus-pulse-stream-retail-1481.deep,Magnexis APIHub > Edu,api-edu-gen-edu-nexus-pulse-stream-retail-1481-deep,edu,Nexus Pulse Stream Retail 1481 orchestrates deterministic mapping results for edu workflows in retail scenarios. Optimized for deep mode.,medium,none,pro,Mapping,deep,deep|edu,45,7.59
Nexus Pulse Stream Retail 1481 Strict,edu.gen-edu-nexus-pulse-stream-retail-1481.strict,Magnexis APIHub > Edu,api-edu-gen-edu-nexus-pulse-stream-retail-1481-strict,edu,Nexus Pulse Stream Retail 1481 orchestrates deterministic mapping results for edu workflows in retail scenarios. Optimized for strict mode.,medium,none,pro,Mapping,strict,edu|gen-480,45,7.69
Nexus Pulse Stream Retail 1481 Creative,edu.gen-edu-nexus-pulse-stream-retail-1481.creative,Magnexis APIHub > Edu,api-edu-gen-edu-nexus-pulse-stream-retail-1481-creative,edu,Nexus Pulse Stream Retail 1481 orchestrates deterministic mapping results for edu workflows in retail scenarios. Optimized for creative mode.,medium,none,pro,Mapping,creative,creative|edu,45,7.10
Nexus Pulse Stream Retail 1481 Compact,edu.gen-edu-nexus-pulse-stream-retail-1481.compact,Magnexis APIHub > Edu,api-edu-gen-edu-nexus-pulse-stream-retail-1481-compact,edu,Nexus Pulse Stream Retail 1481 orchestrates deterministic mapping results for edu workflows in retail scenarios. Optimized for compact mode.,medium,none,pro,Mapping,compact,compact|edu,45,7.20
Nexus Pulse Stream Retail 1481 Verbose,edu.gen-edu-nexus-pulse-stream-retail-1481.verbose,Magnexis APIHub > Edu,api-edu-gen-edu-nexus-pulse-stream-retail-1481-verbose,edu,Nexus Pulse Stream Retail 1481 orchestrates deterministic mapping results for edu workflows in retail scenarios. Optimized for verbose mode.,medium,none,pro,Mapping,verbose,edu|gen-480,45,7.60
Nexus Pulse Stream Retail 1481 Safe,edu.gen-edu-nexus-pulse-stream-retail-1481.safe,Magnexis APIHub > Edu,api-edu-gen-edu-nexus-pulse-stream-retail-1481-safe,edu,Nexus Pulse Stream Retail 1481 orchestrates deterministic mapping results for edu workflows in retail scenarios. Optimized for safe mode.,medium,none,pro,Mapping,safe,edu|gen-480,45,7.26
Nexus Pulse Stream Retail 1481 Adaptive,edu.gen-edu-nexus-pulse-stream-retail-1481.adaptive,Magnexis APIHub > Edu,api-edu-gen-edu-nexus-pulse-stream-retail-1481-adaptive,edu,Nexus Pulse Stream Retail 1481 orchestrates deterministic mapping results for edu workflows in retail scenarios. Optimized for adaptive mode.,medium,none,pro,Mapping,adaptive,adaptive|edu,45,7.51
Nexus Pulse Stream Retail 1481 Batch,edu.gen-edu-nexus-pulse-stream-retail-1481.batch,Magnexis APIHub > Edu,api-edu-gen-edu-nexus-pulse-stream-retail-1481-batch,edu,Nexus Pulse Stream Retail 1481 orchestrates deterministic mapping results for edu workflows in retail scenarios. Optimized for batch mode.,medium,none,pro,Mapping,batch,batch|edu,45,7.34
Quartz Pulse Stream Retail 1482,utility.gen-utility-quartz-pulse-stream-retail-1482.standard,Magnexis APIHub > Utility,api-utility-gen-utility-quartz-pulse-stream-retail-1482,utility,Quartz Pulse Stream Retail 1482 orchestrates deterministic governance results for utility workflows in retail scenarios.,high,none,pro,Governance,standard,gen-481|governance,30,6.91
Quartz Pulse Stream Retail 1482 Fast,utility.gen-utility-quartz-pulse-stream-retail-1482.fast,Magnexis APIHub > Utility,api-utility-gen-utility-quartz-pulse-stream-retail-1482-fast,utility,Quartz Pulse Stream Retail 1482 orchestrates deterministic governance results for utility workflows in retail scenarios. Optimized for fast mode.,high,none,pro,Governance,fast,fast|gen-481,20,7.75
Quartz Pulse Stream Retail 1482 Deep,utility.gen-utility-quartz-pulse-stream-retail-1482.deep,Magnexis APIHub > Utility,api-utility-gen-utility-quartz-pulse-stream-retail-1482-deep,utility,Quartz Pulse Stream Retail 1482 orchestrates deterministic governance results for utility workflows in retail scenarios. Optimized for deep mode.,high,none,pro,Governance,deep,deep|gen-481,20,7.23
Quartz Pulse Stream Retail 1482 Strict,utility.gen-utility-quartz-pulse-stream-retail-1482.strict,Magnexis APIHub > Utility,api-utility-gen-utility-quartz-pulse-stream-retail-1482-strict,utility,Quartz Pulse Stream Retail 1482 orchestrates deterministic governance results for utility workflows in retail scenarios. Optimized for strict mode.,high,none,pro,Governance,strict,gen-481|governance,20,7.56
Quartz Pulse Stream Retail 1482 Creative,utility.gen-utility-quartz-pulse-stream-retail-1482.creative,Magnexis APIHub > Utility,api-utility-gen-utility-quartz-pulse-stream-retail-1482-creative,utility,Quartz Pulse Stream Retail 1482 orchestrates deterministic governance results for utility workflows in retail scenarios. Optimized for creative mode.,high,none,pro,Governance,creative,creative|gen-481,20,7.01
Quartz Pulse Stream Retail 1482 Compact,utility.gen-utility-quartz-pulse-stream-retail-1482.compact,Magnexis APIHub > Utility,api-utility-gen-utility-quartz-pulse-stream-retail-1482-compact,utility,Quartz Pulse Stream Retail 1482 orchestrates deterministic governance results for utility workflows in retail scenarios. Optimized for compact mode.,high,none,pro,Governance,compact,compact|gen-481,20,7.43
Quartz Pulse Stream Retail 1482 Verbose,utility.gen-utility-quartz-pulse-stream-retail-1482.verbose,Magnexis APIHub > Utility,api-utility-gen-utility-quartz-pulse-stream-retail-1482-verbose,utility,Quartz Pulse Stream Retail 1482 orchestrates deterministic governance results for utility workflows in retail scenarios. Optimized for verbose mode.,high,none,pro,Governance,verbose,gen-481|governance,20,7.32
Quartz Pulse Stream Retail 1482 Safe,utility.gen-utility-quartz-pulse-stream-retail-1482.safe,Magnexis APIHub > Utility,api-utility-gen-utility-quartz-pulse-stream-retail-1482-safe,utility,Quartz Pulse Stream Retail 1482 orchestrates deterministic governance results for utility workflows in retail scenarios. Optimized for safe mode.,high,none,pro,Governance,safe,gen-481|governance,20,7.24
Quartz Pulse Stream Retail 1482 Adaptive,utility.gen-utility-quartz-pulse-stream-retail-1482.adaptive,Magnexis APIHub > Utility,api-utility-gen-utility-quartz-pulse-stream-retail-1482-adaptive,utility,Quartz Pulse Stream Retail 1482 orchestrates deterministic governance results for utility workflows in retail scenarios. Optimized for adaptive mode.,high,none,pro,Governance,adaptive,adaptive|gen-481,20,7.30
Quartz Pulse Stream Retail 1482 Batch,utility.gen-utility-quartz-pulse-stream-retail-1482.batch,Magnexis APIHub > Utility,api-utility-gen-utility-quartz-pulse-stream-retail-1482-batch,utility,Quartz Pulse Stream Retail 1482 orchestrates deterministic governance results for utility workflows in retail scenarios. Optimized for batch mode.,high,none,pro,Governance,batch,batch|gen-481,20,7.11
Delta Pulse Stream Retail 1483,ai.gen-ai-delta-pulse-stream-retail-1483.standard,Magnexis APIHub > Ai,api-ai-gen-ai-delta-pulse-stream-retail-1483,ai,Delta Pulse Stream Retail 1483 orchestrates deterministic synthesis results for ai workflows in retail scenarios.,low,none,free,Synthesis,standard,ai|delta,90,7.38
Delta Pulse Stream Retail 1483 Fast,ai.gen-ai-delta-pulse-stream-retail-1483.fast,Magnexis APIHub > Ai,api-ai-gen-ai-delta-pulse-stream-retail-1483-fast,ai,Delta Pulse Stream Retail 1483 orchestrates deterministic synthesis results for ai workflows in retail scenarios. Optimized for fast mode.,low,none,pro,Synthesis,fast,ai|delta,75,7.48
Delta Pulse Stream Retail 1483 Deep,ai.gen-ai-delta-pulse-stream-retail-1483.deep,Magnexis APIHub > Ai,api-ai-gen-ai-delta-pulse-stream-retail-1483-deep,ai,Delta Pulse Stream Retail 1483 orchestrates deterministic synthesis results for ai workflows in retail scenarios. Optimized for deep mode.,low,none,pro,Synthesis,deep,ai|deep,75,7.53
Delta Pulse Stream Retail 1483 Strict,ai.gen-ai-delta-pulse-stream-retail-1483.strict,Magnexis APIHub > Ai,api-ai-gen-ai-delta-pulse-stream-retail-1483-strict,ai,Delta Pulse Stream Retail 1483 orchestrates deterministic synthesis results for ai workflows in retail scenarios. Optimized for strict mode.,low,none,pro,Synthesis,strict,ai|delta,75,7.38
Delta Pulse Stream Retail 1483 Creative,ai.gen-ai-delta-pulse-stream-retail-1483.creative,Magnexis APIHub > Ai,api-ai-gen-ai-delta-pulse-stream-retail-1483-creative,ai,Delta Pulse Stream Retail 1483 orchestrates deterministic synthesis results for ai workflows in retail scenarios. Optimized for creative mode.,low,none,pro,Synthesis,creative,ai|creative,75,7.57
Delta Pulse Stream Retail 1483 Compact,ai.gen-ai-delta-pulse-stream-retail-1483.compact,Magnexis APIHub > Ai,api-ai-gen-ai-delta-pulse-stream-retail-1483-compact,ai,Delta Pulse Stream Retail 1483 orchestrates deterministic synthesis results for ai workflows in retail scenarios. Optimized for compact mode.,low,none,pro,Synthesis,compact,ai|compact,75,7.23
Delta Pulse Stream Retail 1483 Verbose,ai.gen-ai-delta-pulse-stream-retail-1483.verbose,Magnexis APIHub > Ai,api-ai-gen-ai-delta-pulse-stream-retail-1483-verbose,ai,Delta Pulse Stream Retail 1483 orchestrates deterministic synthesis results for ai workflows in retail scenarios. Optimized for verbose mode.,low,none,pro,Synthesis,verbose,ai|delta,75,7.80
Delta Pulse Stream Retail 1483 Safe,ai.gen-ai-delta-pulse-stream-retail-1483.safe,Magnexis APIHub > Ai,api-ai-gen-ai-delta-pulse-stream-retail-1483-safe,ai,Delta Pulse Stream Retail 1483 orchestrates deterministic synthesis results for ai workflows in retail scenarios. Optimized for safe mode.,low,none,pro,Synthesis,safe,ai|delta,75,7.54
Delta Pulse Stream Retail 1483 Adaptive,ai.gen-ai-delta-pulse-stream-retail-1483.adaptive,Magnexis APIHub > Ai,api-ai-gen-ai-delta-pulse-stream-retail-1483-adaptive,ai,Delta Pulse Stream Retail 1483 orchestrates deterministic synthesis results for ai workflows in retail scenarios. Optimized for adaptive mode.,low,none,pro,Synthesis,adaptive,adaptive|ai,75,7.08
Delta Pulse Stream Retail 1483 Batch,ai.gen-ai-delta-pulse-stream-retail-1483.batch,Magnexis APIHub > Ai,api-ai-gen-ai-delta-pulse-stream-retail-1483-batch,ai,Delta Pulse Stream Retail 1483 orchestrates deterministic synthesis results for ai workflows in retail scenarios. Optimized for batch mode.,low,none,pro,Synthesis,batch,ai|batch,75,7.65
Ripple Pulse Stream Retail 1484,text.gen-text-ripple-pulse-stream-retail-1484.standard,Magnexis APIHub > Text,api-text-gen-text-ripple-pulse-stream-retail-1484,text,Ripple Pulse Stream Retail 1484 orchestrates deterministic routing results for text workflows in retail scenarios.,medium,none,free,Routing,standard,gen-483|magnexis,60,7.11
Ripple Pulse Stream Retail 1484 Fast,text.gen-text-ripple-pulse-stream-retail-1484.fast,Magnexis APIHub > Text,api-text-gen-text-ripple-pulse-stream-retail-1484-fast,text,Ripple Pulse Stream Retail 1484 orchestrates deterministic routing results for text workflows in retail scenarios. Optimized for fast mode.,medium,none,pro,Routing,fast,fast|gen-483,45,7.65
Ripple Pulse Stream Retail 1484 Deep,text.gen-text-ripple-pulse-stream-retail-1484.deep,Magnexis APIHub > Text,api-text-gen-text-ripple-pulse-stream-retail-1484-deep,text,Ripple Pulse Stream Retail 1484 orchestrates deterministic routing results for text workflows in retail scenarios. Optimized for deep mode.,medium,none,pro,Routing,deep,deep|gen-483,45,7.89
Ripple Pulse Stream Retail 1484 Strict,text.gen-text-ripple-pulse-stream-retail-1484.strict,Magnexis APIHub > Text,api-text-gen-text-ripple-pulse-stream-retail-1484-strict,text,Ripple Pulse Stream Retail 1484 orchestrates deterministic routing results for text workflows in retail scenarios. Optimized for strict mode.,medium,none,pro,Routing,strict,gen-483|magnexis,45,7.74
Ripple Pulse Stream Retail 1484 Creative,text.gen-text-ripple-pulse-stream-retail-1484.creative,Magnexis APIHub > Text,api-text-gen-text-ripple-pulse-stream-retail-1484-creative,text,Ripple Pulse Stream Retail 1484 orchestrates deterministic routing results for text workflows in retail scenarios. Optimized for creative mode.,medium,none,pro,Routing,creative,creative|gen-483,45,7.64
Ripple Pulse Stream Retail 1484 Compact,text.gen-text-ripple-pulse-stream-retail-1484.compact,Magnexis APIHub > Text,api-text-gen-text-ripple-pulse-stream-retail-1484-compact,text,Ripple Pulse Stream Retail 1484 orchestrates deterministic routing results for text workflows in retail scenarios. Optimized for compact mode.,medium,none,pro,Routing,compact,compact|gen-483,45,7.76
Ripple Pulse Stream Retail 1484 Verbose,text.gen-text-ripple-pulse-stream-retail-1484.verbose,Magnexis APIHub > Text,api-text-gen-text-ripple-pulse-stream-retail-1484-verbose,text,Ripple Pulse Stream Retail 1484 orchestrates deterministic routing results for text workflows in retail scenarios. Optimized for verbose mode.,medium,none,pro,Routing,verbose,gen-483|magnexis,45,7.60
Ripple Pulse Stream Retail 1484 Safe,text.gen-text-ripple-pulse-stream-retail-1484.safe,Magnexis APIHub > Text,api-text-gen-text-ripple-pulse-stream-retail-1484-safe,text,Ripple Pulse Stream Retail 1484 orchestrates deterministic routing results for text workflows in retail scenarios. Optimized for safe mode.,medium,none,pro,Routing,safe,gen-483|magnexis,45,7.95
Ripple Pulse Stream Retail 1484 Adaptive,text.gen-text-ripple-pulse-stream-retail-1484.adaptive,Magnexis APIHub > Text,api-text-gen-text-ripple-pulse-stream-retail-1484-adaptive,text,Ripple Pulse Stream Retail 1484 orchestrates deterministic routing results for text workflows in retail scenarios. Optimized for adaptive mode.,medium,none,pro,Routing,adaptive,adaptive|gen-483,45,8.00
Ripple Pulse Stream Retail 1484 Batch,text.gen-text-ripple-pulse-stream-retail-1484.batch,Magnexis APIHub > Text,api-text-gen-text-ripple-pulse-stream-retail-1484-batch,text,Ripple Pulse Stream Retail 1484 orchestrates deterministic routing results for text workflows in retail scenarios. Optimized for batch mode.,medium,none,pro,Routing,batch,batch|gen-483,45,7.80
Atlas Pulse Stream Retail 1485,dev.gen-dev-atlas-pulse-stream-retail-1485.standard,Magnexis APIHub > Dev,api-dev-gen-dev-atlas-pulse-stream-retail-1485,dev,Atlas Pulse Stream Retail 1485 orchestrates deterministic profiling results for dev workflows in retail scenarios.,high,none,pro,Profiling,standard,atlas|dev,30,7.97
Atlas Pulse Stream Retail 1485 Fast,dev.gen-dev-atlas-pulse-stream-retail-1485.fast,Magnexis APIHub > Dev,api-dev-gen-dev-atlas-pulse-stream-retail-1485-fast,dev,Atlas Pulse Stream Retail 1485 orchestrates deterministic profiling results for dev workflows in retail scenarios. Optimized for fast mode.,high,none,pro,Profiling,fast,atlas|dev,20,8.03
Atlas Pulse Stream Retail 1485 Deep,dev.gen-dev-atlas-pulse-stream-retail-1485.deep,Magnexis APIHub > Dev,api-dev-gen-dev-atlas-pulse-stream-retail-1485-deep,dev,Atlas Pulse Stream Retail 1485 orchestrates deterministic profiling results for dev workflows in retail scenarios. Optimized for deep mode.,high,none,pro,Profiling,deep,atlas|deep,20,8.02
Atlas Pulse Stream Retail 1485 Strict,dev.gen-dev-atlas-pulse-stream-retail-1485.strict,Magnexis APIHub > Dev,api-dev-gen-dev-atlas-pulse-stream-retail-1485-strict,dev,Atlas Pulse Stream Retail 1485 orchestrates deterministic profiling results for dev workflows in retail scenarios. Optimized for strict mode.,high,none,pro,Profiling,strict,atlas|dev,20,7.86
Atlas Pulse Stream Retail 1485 Creative,dev.gen-dev-atlas-pulse-stream-retail-1485.creative,Magnexis APIHub > Dev,api-dev-gen-dev-atlas-pulse-stream-retail-1485-creative,dev,Atlas Pulse Stream Retail 1485 orchestrates deterministic profiling results for dev workflows in retail scenarios. Optimized for creative mode.,high,none,pro,Profiling,creative,atlas|creative,20,7.37
Atlas Pulse Stream Retail 1485 Compact,dev.gen-dev-atlas-pulse-stream-retail-1485.compact,Magnexis APIHub > Dev,api-dev-gen-dev-atlas-pulse-stream-retail-1485-compact,dev,Atlas Pulse Stream Retail 1485 orchestrates deterministic profiling results for dev workflows in retail scenarios. Optimized for compact mode.,high,none,pro,Profiling,compact,atlas|compact,20,7.37
Atlas Pulse Stream Retail 1485 Verbose,dev.gen-dev-atlas-pulse-stream-retail-1485.verbose,Magnexis APIHub > Dev,api-dev-gen-dev-atlas-pulse-stream-retail-1485-verbose,dev,Atlas Pulse Stream Retail 1485 orchestrates deterministic profiling results for dev workflows in retail scenarios. Optimized for verbose mode.,high,none,pro,Profiling,verbose,atlas|dev,20,7.63
Atlas Pulse Stream Retail 1485 Safe,dev.gen-dev-atlas-pulse-stream-retail-1485.safe,Magnexis APIHub > Dev,api-dev-gen-dev-atlas-pulse-stream-retail-1485-safe,dev,Atlas Pulse Stream Retail 1485 orchestrates deterministic profiling results for dev workflows in retail scenarios. Optimized for safe mode.,high,none,pro,Profiling,safe,atlas|dev,20,7.85
Atlas Pulse Stream Retail 1485 Adaptive,dev.gen-dev-atlas-pulse-stream-retail-1485.adaptive,Magnexis APIHub > Dev,api-dev-gen-dev-atlas-pulse-stream-retail-1485-adaptive,dev,Atlas Pulse Stream Retail 1485 orchestrates deterministic profiling results for dev workflows in retail scenarios. Optimized for adaptive mode.,high,none,pro,Profiling,adaptive,adaptive|atlas,20,7.39
Atlas Pulse Stream Retail 1485 Batch,dev.gen-dev-atlas-pulse-stream-retail-1485.batch,Magnexis APIHub > Dev,api-dev-gen-dev-atlas-pulse-stream-retail-1485-batch,dev,Atlas Pulse Stream Retail 1485 orchestrates deterministic profiling results for dev workflows in retail scenarios. Optimized for batch mode.,high,none,pro,Profiling,batch,atlas|batch,20,7.40
Forge Pulse Stream Retail 1486,data.gen-data-forge-pulse-stream-retail-1486.standard,Magnexis APIHub > Data,api-data-gen-data-forge-pulse-stream-retail-1486,data,Forge Pulse Stream Retail 1486 orchestrates deterministic monitoring results for data workflows in retail scenarios.,low,none,free,Monitoring,standard,data|forge,90,8.07
Forge Pulse Stream Retail 1486 Fast,data.gen-data-forge-pulse-stream-retail-1486.fast,Magnexis APIHub > Data,api-data-gen-data-forge-pulse-stream-retail-1486-fast,data,Forge Pulse Stream Retail 1486 orchestrates deterministic monitoring results for data workflows in retail scenarios. Optimized for fast mode.,low,none,pro,Monitoring,fast,data|fast,75,7.85
Forge Pulse Stream Retail 1486 Deep,data.gen-data-forge-pulse-stream-retail-1486.deep,Magnexis APIHub > Data,api-data-gen-data-forge-pulse-stream-retail-1486-deep,data,Forge Pulse Stream Retail 1486 orchestrates deterministic monitoring results for data workflows in retail scenarios. Optimized for deep mode.,low,none,pro,Monitoring,deep,data|deep,75,8.26
Forge Pulse Stream Retail 1486 Strict,data.gen-data-forge-pulse-stream-retail-1486.strict,Magnexis APIHub > Data,api-data-gen-data-forge-pulse-stream-retail-1486-strict,data,Forge Pulse Stream Retail 1486 orchestrates deterministic monitoring results for data workflows in retail scenarios. Optimized for strict mode.,low,none,pro,Monitoring,strict,data|forge,75,7.74
Forge Pulse Stream Retail 1486 Creative,data.gen-data-forge-pulse-stream-retail-1486.creative,Magnexis APIHub > Data,api-data-gen-data-forge-pulse-stream-retail-1486-creative,data,Forge Pulse Stream Retail 1486 orchestrates deterministic monitoring results for data workflows in retail scenarios. Optimized for creative mode.,low,none,pro,Monitoring,creative,creative|data,75,7.48
